ONCENTER,,OFFCENTER
,,
"671,0,0",,"671,0,0"
,,
"671,0,0",,"671,0,0"
,,
"671,0,0",,"671,0,0"
,,
"671,0,0",,"671,0,0"
,,
"672,2,5",,"672,-2,0"
,,
"672,0,0",,"672,0,0"
,,
"672,0,0",,"672,0,0"
,,
"672,0,0",,"672,0,0"
,,
"672,0,0",,"672,0,0"
,,
"672,0,0",,"672,0,0"
,,
"672,0,0",,"672,0,0"
,,
"672,0,0",,"672,0,0"
,,
"672,0,0",,"672,0,0"
,,
"673,0,0",,"673,0,0"
,,
"673,0,0",,"673,0,0"
,,
"673,0,0",,"673,0,0"
,,
"673,0,0",,"673,0,0"
,,
"673,0,0",,"673,0,0"
,,
"673,0,0",,"673,0,0"
,,
"673,0,0",,"673,0,0"
,,
"673,0,0",,"673,0,0"
,,
"673,0,0",,"673,0,0"
,,
"674,0,0",,"674,0,0"
,,
"674,0,0",,"674,0,0"
,,
"674,0,0",,"674,0,0"
,,
"674,0,0",,"674,0,0"
,,
"674,0,0",,"674,0,0"
,,
"674,0,0",,"674,0,0"
,,
"674,0,0",,"674,0,0"
,,
"674,0,0",,"674,0,0"
,,
"674,0,0",,"674,0,0"
,,
"675,1,6",,"675,-1,0"
,,
"675,0,0",,"675,0,0"
,,
"675,0,0",,"675,0,0"
,,
"675,0,0",,"675,0,0"
,,
"675,0,0",,"675,0,0"
,,
"675,0,0",,"675,0,0"
,,
"675,0,0",,"675,0,0"
,,
"675,0,0",,"675,0,0"
,,
"675,0,0",,"675,0,0"
,,
"676,-3,0",,"676,3,4"
,,
"676,1,6",,"676,-1,0"
,,
"676,0,0",,"676,0,0"
,,
"676,0,0",,"676,0,0"
,,
"676,0,0",,"676,0,0"
,,
"676,0,0",,"676,0,0"
,,
"676,0,0",,"676,0,0"
,,
"676,0,0",,"676,0,0"
,,
"676,0,0",,"676,0,0"
,,
"677,-2,0",,"677,2,5"
,,
"677,1,6",,"677,-1,0"
,,
"677,2,5",,"677,-2,0"
,,
"677,0,0",,"677,0,0"
,,
"677,0,0",,"677,0,0"
,,
"677,0,0",,"677,0,0"
,,
"677,0,0",,"677,0,0"
,,
"677,0,0",,"677,0,0"
,,
"677,0,0",,"677,0,0"
,,
"678,2,5",,"678,-2,0"
,,
"678,1,6",,"678,-1,0"
,,
"678,0,0",,"678,0,0"
,,
"678,0,0",,"678,0,0"
,,
"678,0,0",,"678,0,0"
,,
"678,0,0",,"678,0,0"
,,
"678,0,0",,"678,0,0"
,,
"678,0,0",,"678,0,0"
,,
"678,0,0",,"678,0,0"
,,
"679,3,4",,"679,-3,0"
,,
"679,0,0",,"679,0,0"
,,
"679,0,0",,"679,0,0"
,,
"679,0,0",,"679,0,0"
,,
"679,0,0",,"679,0,0"
,,
"679,0,0",,"679,0,0"
,,
"679,0,0",,"679,0,0"
,,
"679,0,0",,"679,0,0"
,,
"679,0,0",,"679,0,0"
,,
"680,0,0",,"680,0,0"
,,
"680,0,0",,"680,0,0"
,,
"680,0,0",,"680,0,0"
,,
"680,0,0",,"680,0,0"
,,
"680,0,0",,"680,0,0"
,,
"680,0,0",,"680,0,0"
,,
"680,0,0",,"680,0,0"
,,
"680,0,0",,"680,0,0"
,,
"680,0,0",,"680,0,0"
,,
"681,1,6",,"681,-1,0"
,,
"681,0,0",,"681,0,0"
,,
"681,0,0",,"681,0,0"
,,
"681,0,0",,"681,0,0"
,,
"681,0,0",,"681,0,0"
,,
"681,0,0",,"681,0,0"
,,
"681,0,0",,"681,0,0"
,,
"681,0,0",,"681,0,0"
,,
"681,0,0",,"681,0,0"
,,
"682,0,0",,"682,0,0"
,,
"682,0,0",,"682,0,0"
,,
"682,0,0",,"682,0,0"
,,
"682,0,0",,"682,0,0"
,,
"682,0,0",,"682,0,0"
,,
"682,0,0",,"682,0,0"
,,
"682,0,0",,"682,0,0"
,,
"682,0,0",,"682,0,0"
,,
"682,0,0",,"682,0,0"
,,
"683,0,0",,"683,0,0"
,,
"683,0,0",,"683,0,0"
,,
"683,0,0",,"683,0,0"
,,
"683,0,0",,"683,0,0"
,,
"683,0,0",,"683,0,0"
,,
"683,0,0",,"683,0,0"
,,
"683,0,0",,"683,0,0"
,,
"683,0,0",,"683,0,0"
,,
"683,0,0",,"683,0,0"
,,
"684,-1,0",,"684,1,6"
,,
"684,-1,0",,"684,1,6"
,,
"684,-1,0",,"684,1,6"
,,
"684,0,0",,"684,0,0"
,,
"684,0,0",,"684,0,0"
,,
"684,0,0",,"684,0,0"
,,
"684,0,0",,"684,0,0"
,,
"684,0,0",,"684,0,0"
,,
"684,0,0",,"684,0,0"
,,
"685,1,6",,"685,-1,0"
,,
"685,0,0",,"685,0,0"
,,
"685,0,0",,"685,0,0"
,,
"685,0,0",,"685,0,0"
,,
"685,0,0",,"685,0,0"
,,
"685,0,0",,"685,0,0"
,,
"685,0,0",,"685,0,0"
,,
"685,0,0",,"685,0,0"
,,
"685,0,0",,"685,0,0"
,,
"686,-1,0",,"686,1,6"
,,
"686,-2,0",,"686,2,5"
,,
"686,0,0",,"686,0,0"
,,
"686,0,0",,"686,0,0"
,,
"686,0,0",,"686,0,0"
,,
"686,0,0",,"686,0,0"
,,
"686,0,0",,"686,0,0"
,,
"686,0,0",,"686,0,0"
,,
"686,0,0",,"686,0,0"
,,
"687,1,6",,"687,-1,0"
,,
"687,0,0",,"687,0,0"
,,
"687,0,0",,"687,0,0"
,,
"687,0,0",,"687,0,0"
,,
"687,0,0",,"687,0,0"
,,
"687,0,0",,"687,0,0"
,,
"687,0,0",,"687,0,0"
,,
"687,0,0",,"687,0,0"
,,
"687,0,0",,"687,0,0"
,,
"688,-1,0",,"688,1,6"
,,
"688,0,0",,"688,0,0"
,,
"688,2,5",,"688,-2,0"
,,
"688,0,0",,"688,0,0"
,,
"688,0,0",,"688,0,0"
,,
"688,0,0",,"688,0,0"
,,
"688,0,0",,"688,0,0"
,,
"688,0,0",,"688,0,0"
,,
"688,0,0",,"688,0,0"
,,
"689,-1,0",,"689,1,6"
,,
"689,-1,0",,"689,1,6"
,,
"689,2,5",,"689,-2,0"
,,
"689,0,0",,"689,0,0"
,,
"689,0,0",,"689,0,0"
,,
"689,0,0",,"689,0,0"
,,
"689,0,0",,"689,0,0"
,,
"689,0,0",,"689,0,0"
,,
"689,0,0",,"689,0,0"
,,
"690,0,0",,"690,0,0"
,,
"690,0,0",,"690,0,0"
,,
"690,0,0",,"690,0,0"
,,
"690,0,0",,"690,0,0"
,,
"690,0,0",,"690,0,0"
,,
"690,0,0",,"690,0,0"
,,
"690,0,0",,"690,0,0"
,,
"690,0,0",,"690,0,0"
,,
"690,0,0",,"690,0,0"
,,
"691,-1,0",,"691,1,6"
,,
"691,2,5",,"691,-2,0"
,,
"691,1,6",,"691,-1,0"
,,
"691,0,0",,"691,0,0"
,,
"691,0,0",,"691,0,0"
,,
"691,0,0",,"691,0,0"
,,
"691,0,0",,"691,0,0"
,,
"691,0,0",,"691,0,0"
,,
"691,0,0",,"691,0,0"
,,
"692,3,4",,"692,-3,0"
,,
"692,1,6",,"692,-1,0"
,,
"692,1,6",,"692,-1,0"
,,
"692,0,0",,"692,0,0"
,,
"692,0,0",,"692,0,0"
,,
"692,0,0",,"692,0,0"
,,
"692,0,0",,"692,0,0"
,,
"692,0,0",,"692,0,0"
,,
"692,0,0",,"692,0,0"
,,
"693,0,0",,"693,0,0"
,,
"693,0,0",,"693,0,0"
,,
"693,0,0",,"693,0,0"
,,
"693,0,0",,"693,0,0"
,,
"693,0,0",,"693,0,0"
,,
"693,0,0",,"693,0,0"
,,
"693,0,0",,"693,0,0"
,,
"693,0,0",,"693,0,0"
,,
"693,0,0",,"693,0,0"
,,
"694,2,5",,"694,-2,0"
,,
"694,0,0",,"694,0,0"
,,
"694,0,0",,"694,0,0"
,,
"694,0,0",,"694,0,0"
,,
"694,0,0",,"694,0,0"
,,
"694,0,0",,"694,0,0"
,,
"694,0,0",,"694,0,0"
,,
"694,0,0",,"694,0,0"
,,
"694,0,0",,"694,0,0"
,,
"695,0,0",,"695,0,0"
,,
"695,0,0",,"695,0,0"
,,
"695,0,0",,"695,0,0"
,,
"695,0,0",,"695,0,0"
,,
"695,0,0",,"695,0,0"
,,
"695,0,0",,"695,0,0"
,,
"695,0,0",,"695,0,0"
,,
"695,0,0",,"695,0,0"
,,
"695,0,0",,"695,0,0"
,,
"696,0,0",,"696,0,0"
,,
"696,0,0",,"696,0,0"
,,
"696,0,0",,"696,0,0"
,,
"696,0,0",,"696,0,0"
,,
"696,0,0",,"696,0,0"
,,
"696,0,0",,"696,0,0"
,,
"696,0,0",,"696,0,0"
,,
"696,0,0",,"696,0,0"
,,
"696,0,0",,"696,0,0"
,,
"697,0,0",,"697,0,0"
,,
"697,0,0",,"697,0,0"
,,
"697,0,0",,"697,0,0"
,,
"697,0,0",,"697,0,0"
,,
"697,0,0",,"697,0,0"
,,
"697,0,0",,"697,0,0"
,,
"697,0,0",,"697,0,0"
,,
"697,0,0",,"697,0,0"
,,
"697,0,0",,"697,0,0"
,,
"698,0,0",,"698,0,0"
,,
"698,0,0",,"698,0,0"
,,
"698,0,0",,"698,0,0"
,,
"698,0,0",,"698,0,0"
,,
"698,0,0",,"698,0,0"
,,
"698,0,0",,"698,0,0"
,,
"698,0,0",,"698,0,0"
,,
"698,0,0",,"698,0,0"
,,
"698,0,0",,"698,0,0"
,,
"699,0,0",,"699,0,0"
,,
"699,0,0",,"699,0,0"
,,
"699,0,0",,"699,0,0"
,,
"699,0,0",,"699,0,0"
,,
"699,0,0",,"699,0,0"
,,
"699,0,0",,"699,0,0"
,,
"699,0,0",,"699,0,0"
,,
"699,0,0",,"699,0,0"
,,
"699,0,0",,"699,0,0"
,,
"700,0,0",,"700,0,0"
,,
"700,0,0",,"700,0,0"
,,
"700,0,0",,"700,0,0"
,,
"700,0,0",,"700,0,0"
,,
"700,0,0",,"700,0,0"
,,
"700,0,0",,"700,0,0"
,,
"700,0,0",,"700,0,0"
,,
"700,0,0",,"700,0,0"
,,
"700,0,0",,"700,0,0"
,,
"701,1,6",,"701,-1,0"
,,
"701,0,0",,"701,0,0"
,,
"701,0,0",,"701,0,0"
,,
"701,0,0",,"701,0,0"
,,
"701,0,0",,"701,0,0"
,,
"701,0,0",,"701,0,0"
,,
"701,0,0",,"701,0,0"
,,
"701,0,0",,"701,0,0"
,,
"701,0,0",,"701,0,0"
,,
"702,0,0",,"702,0,0"
,,
"702,0,0",,"702,0,0"
,,
"702,0,0",,"702,0,0"
,,
"702,0,0",,"702,0,0"
,,
"702,0,0",,"702,0,0"
,,
"702,0,0",,"702,0,0"
,,
"702,0,0",,"702,0,0"
,,
"702,0,0",,"702,0,0"
,,
"702,0,0",,"702,0,0"
,,
"703,0,0",,"703,0,0"
,,
"703,0,0",,"703,0,0"
,,
"703,0,0",,"703,0,0"
,,
"703,0,0",,"703,0,0"
,,
"703,0,0",,"703,0,0"
,,
"703,0,0",,"703,0,0"
,,
"703,0,0",,"703,0,0"
,,
"703,0,0",,"703,0,0"
,,
"703,0,0",,"703,0,0"
,,
"704,1,6",,"704,-1,0"
,,
"704,0,0",,"704,0,0"
,,
"704,0,0",,"704,0,0"
,,
"704,0,0",,"704,0,0"
,,
"704,0,0",,"704,0,0"
,,
"704,0,0",,"704,0,0"
,,
"704,0,0",,"704,0,0"
,,
"704,0,0",,"704,0,0"
,,
"704,0,0",,"704,0,0"
,,
"705,0,0",,"705,0,0"
,,
"705,0,0",,"705,0,0"
,,
"705,0,0",,"705,0,0"
,,
"705,0,0",,"705,0,0"
,,
"705,0,0",,"705,0,0"
,,
"705,0,0",,"705,0,0"
,,
"705,0,0",,"705,0,0"
,,
"705,0,0",,"705,0,0"
,,
"705,0,0",,"705,0,0"
,,
"706,0,0",,"706,0,0"
,,
"706,0,0",,"706,0,0"
,,
"706,0,0",,"706,0,0"
,,
"706,0,0",,"706,0,0"
,,
"706,0,0",,"706,0,0"
,,
"706,0,0",,"706,0,0"
,,
"706,0,0",,"706,0,0"
,,
"706,0,0",,"706,0,0"
,,
"706,0,0",,"706,0,0"
,,
"707,2,5",,"707,-2,0"
,,
"707,0,0",,"707,0,0"
,,
"707,0,0",,"707,0,0"
,,
"707,0,0",,"707,0,0"
,,
"707,0,0",,"707,0,0"
,,
"707,0,0",,"707,0,0"
,,
"707,0,0",,"707,0,0"
,,
"707,0,0",,"707,0,0"
,,
"707,0,0",,"707,0,0"
,,
"708,1,6",,"708,-1,0"
,,
"708,0,0",,"708,0,0"
,,
"708,0,0",,"708,0,0"
,,
"708,0,0",,"708,0,0"
,,
"708,0,0",,"708,0,0"
,,
"708,0,0",,"708,0,0"
,,
"708,0,0",,"708,0,0"
,,
"708,0,0",,"708,0,0"
,,
"708,0,0",,"708,0,0"
,,
"709,2,5",,"709,-2,0"
,,
"709,0,0",,"709,0,0"
,,
"709,0,0",,"709,0,0"
,,
"709,0,0",,"709,0,0"
,,
"709,0,0",,"709,0,0"
,,
"709,0,0",,"709,0,0"
,,
"709,0,0",,"709,0,0"
,,
"709,0,0",,"709,0,0"
,,
"709,0,0",,"709,0,0"
,,
"710,0,0",,"710,0,0"
,,
"710,0,0",,"710,0,0"
,,
"710,0,0",,"710,0,0"
,,
"710,0,0",,"710,0,0"
,,
"710,0,0",,"710,0,0"
,,
"710,0,0",,"710,0,0"
,,
"710,0,0",,"710,0,0"
,,
"710,0,0",,"710,0,0"
,,
"710,0,0",,"710,0,0"
,,
"711,0,0",,"711,0,0"
,,
"711,0,0",,"711,0,0"
,,
"711,0,0",,"711,0,0"
,,
"711,0,0",,"711,0,0"
,,
"711,0,0",,"711,0,0"
,,
"711,0,0",,"711,0,0"
,,
"711,0,0",,"711,0,0"
,,
"711,0,0",,"711,0,0"
,,
"711,0,0",,"711,0,0"
,,
"712,0,0",,"712,0,0"
,,
"712,0,0",,"712,0,0"
,,
"712,0,0",,"712,0,0"
,,
"712,0,0",,"712,0,0"
,,
"712,0,0",,"712,0,0"
,,
"712,0,0",,"712,0,0"
,,
"712,0,0",,"712,0,0"
,,
"712,0,0",,"712,0,0"
,,
"712,0,0",,"712,0,0"
,,
"713,-2,0",,"713,2,5"
,,
"713,1,6",,"713,-1,0"
,,
"713,1,6",,"713,-1,0"
,,
"713,0,0",,"713,0,0"
,,
"713,0,0",,"713,0,0"
,,
"713,0,0",,"713,0,0"
,,
"713,0,0",,"713,0,0"
,,
"713,0,0",,"713,0,0"
,,
"713,0,0",,"713,0,0"
,,
"714,-2,0",,"714,2,5"
,,
"714,-2,0",,"714,2,5"
,,
"714,2,5",,"714,-2,0"
,,
"714,0,0",,"714,0,0"
,,
"714,0,0",,"714,0,0"
,,
"714,0,0",,"714,0,0"
,,
"714,0,0",,"714,0,0"
,,
"714,0,0",,"714,0,0"
,,
"714,0,0",,"714,0,0"
,,
"715,-1,0",,"715,1,6"
,,
"715,-2,0",,"715,2,5"
,,
"715,3,4",,"715,-3,0"
,,
"715,0,0",,"715,0,0"
,,
"715,0,0",,"715,0,0"
,,
"715,0,0",,"715,0,0"
,,
"715,0,0",,"715,0,0"
,,
"715,0,0",,"715,0,0"
,,
"715,0,0",,"715,0,0"
,,
"716,-2,0",,"716,2,5"
,,
"716,2,5",,"716,-2,0"
,,
"716,0,0",,"716,0,0"
,,
"716,0,0",,"716,0,0"
,,
"716,0,0",,"716,0,0"
,,
"716,0,0",,"716,0,0"
,,
"716,0,0",,"716,0,0"
,,
"716,0,0",,"716,0,0"
,,
"716,0,0",,"716,0,0"
,,
"717,2,5",,"717,-2,0"
,,
"717,0,0",,"717,0,0"
,,
"717,0,0",,"717,0,0"
,,
"717,0,0",,"717,0,0"
,,
"717,0,0",,"717,0,0"
,,
"717,0,0",,"717,0,0"
,,
"717,0,0",,"717,0,0"
,,
"717,0,0",,"717,0,0"
,,
"717,0,0",,"717,0,0"
,,
"718,0,0",,"718,0,0"
,,
"718,0,0",,"718,0,0"
,,
"718,0,0",,"718,0,0"
,,
"718,0,0",,"718,0,0"
,,
"718,0,0",,"718,0,0"
,,
"718,0,0",,"718,0,0"
,,
"718,0,0",,"718,0,0"
,,
"718,0,0",,"718,0,0"
,,
"718,0,0",,"718,0,0"
,,
"719,-3,0",,"719,3,4"
,,
"719,-2,0",,"719,2,5"
,,
"719,-2,0",,"719,2,5"
,,
"719,0,0",,"719,0,0"
,,
"719,0,0",,"719,0,0"
,,
"719,0,0",,"719,0,0"
,,
"719,0,0",,"719,0,0"
,,
"719,0,0",,"719,0,0"
,,
"719,0,0",,"719,0,0"
,,
"720,-2,0",,"720,2,5"
,,
"720,1,6",,"720,-1,0"
,,
"720,0,0",,"720,0,0"
,,
"720,0,0",,"720,0,0"
,,
"720,0,0",,"720,0,0"
,,
"720,0,0",,"720,0,0"
,,
"720,0,0",,"720,0,0"
,,
"720,0,0",,"720,0,0"
,,
"720,0,0",,"720,0,0"
,,
"721,0,0",,"721,0,0"
,,
"721,0,0",,"721,0,0"
,,
"721,0,0",,"721,0,0"
,,
"721,0,0",,"721,0,0"
,,
"721,0,0",,"721,0,0"
,,
"721,0,0",,"721,0,0"
,,
"721,0,0",,"721,0,0"
,,
"721,0,0",,"721,0,0"
,,
"721,0,0",,"721,0,0"
,,
"722,0,0",,"722,0,0"
,,
"722,0,0",,"722,0,0"
,,
"722,0,0",,"722,0,0"
,,
"722,0,0",,"722,0,0"
,,
"722,0,0",,"722,0,0"
,,
"722,0,0",,"722,0,0"
,,
"722,0,0",,"722,0,0"
,,
"722,0,0",,"722,0,0"
,,
"722,0,0",,"722,0,0"
,,
"723,0,0",,"723,0,0"
,,
"723,2,5",,"723,-2,0"
,,
"723,0,0",,"723,0,0"
,,
"723,0,0",,"723,0,0"
,,
"723,0,0",,"723,0,0"
,,
"723,0,0",,"723,0,0"
,,
"723,0,0",,"723,0,0"
,,
"723,0,0",,"723,0,0"
,,
"723,0,0",,"723,0,0"
,,
"724,2,5",,"724,-2,0"
,,
"724,1,6",,"724,-1,0"
,,
"724,0,0",,"724,0,0"
,,
"724,0,0",,"724,0,0"
,,
"724,0,0",,"724,0,0"
,,
"724,0,0",,"724,0,0"
,,
"724,0,0",,"724,0,0"
,,
"724,0,0",,"724,0,0"
,,
"724,0,0",,"724,0,0"
,,
"725,0,0",,"725,0,0"
,,
"725,0,0",,"725,0,0"
,,
"725,0,0",,"725,0,0"
,,
"725,0,0",,"725,0,0"
,,
"725,0,0",,"725,0,0"
,,
"725,0,0",,"725,0,0"
,,
"725,0,0",,"725,0,0"
,,
"725,0,0",,"725,0,0"
,,
"725,0,0",,"725,0,0"
,,
"726,3,4",,"726,-3,0"
,,
"726,1,6",,"726,-1,0"
,,
"726,0,0",,"726,0,0"
,,
"726,0,0",,"726,0,0"
,,
"726,0,0",,"726,0,0"
,,
"726,0,0",,"726,0,0"
,,
"726,0,0",,"726,0,0"
,,
"726,0,0",,"726,0,0"
,,
"726,0,0",,"726,0,0"
,,
"727,0,0",,"727,0,0"
,,
"727,0,0",,"727,0,0"
,,
"727,0,0",,"727,0,0"
,,
"727,0,0",,"727,0,0"
,,
"727,0,0",,"727,0,0"
,,
"727,0,0",,"727,0,0"
,,
"727,0,0",,"727,0,0"
,,
"727,0,0",,"727,0,0"
,,
"727,0,0",,"727,0,0"
,,
"728,1,6",,"728,-1,0"
,,
"728,0,0",,"728,0,0"
,,
"728,0,0",,"728,0,0"
,,
"728,0,0",,"728,0,0"
,,
"728,0,0",,"728,0,0"
,,
"728,0,0",,"728,0,0"
,,
"728,0,0",,"728,0,0"
,,
"728,0,0",,"728,0,0"
,,
"728,0,0",,"728,0,0"
,,
"729,0,0",,"729,0,0"
,,
"729,0,0",,"729,0,0"
,,
"729,0,0",,"729,0,0"
,,
"729,0,0",,"729,0,0"
,,
"729,0,0",,"729,0,0"
,,
"729,0,0",,"729,0,0"
,,
"729,0,0",,"729,0,0"
,,
"729,0,0",,"729,0,0"
,,
"729,0,0",,"729,0,0"
,,
"730,1,6",,"730,-1,0"
,,
"730,0,0",,"730,0,0"
,,
"730,0,0",,"730,0,0"
,,
"730,0,0",,"730,0,0"
,,
"730,0,0",,"730,0,0"
,,
"730,0,0",,"730,0,0"
,,
"730,0,0",,"730,0,0"
,,
"730,0,0",,"730,0,0"
,,
"730,0,0",,"730,0,0"
,,
"731,0,0",,"731,0,0"
,,
"731,0,0",,"731,0,0"
,,
"731,0,0",,"731,0,0"
,,
"731,0,0",,"731,0,0"
,,
"731,0,0",,"731,0,0"
,,
"731,0,0",,"731,0,0"
,,
"731,0,0",,"731,0,0"
,,
"731,0,0",,"731,0,0"
,,
"731,0,0",,"731,0,0"
,,
"732,2,5",,"732,-2,0"
,,
"732,0,0",,"732,0,0"
,,
"732,0,0",,"732,0,0"
,,
"732,0,0",,"732,0,0"
,,
"732,0,0",,"732,0,0"
,,
"732,0,0",,"732,0,0"
,,
"732,0,0",,"732,0,0"
,,
"732,0,0",,"732,0,0"
,,
"732,0,0",,"732,0,0"
,,
"733,0,0",,"733,0,0"
,,
"733,0,0",,"733,0,0"
,,
"733,0,0",,"733,0,0"
,,
"733,0,0",,"733,0,0"
,,
"733,0,0",,"733,0,0"
,,
"733,0,0",,"733,0,0"
,,
"733,0,0",,"733,0,0"
,,
"733,0,0",,"733,0,0"
,,
"733,0,0",,"733,0,0"
,,
"734,0,0",,"734,0,0"
,,
"734,0,0",,"734,0,0"
,,
"734,0,0",,"734,0,0"
,,
"734,0,0",,"734,0,0"
,,
"734,0,0",,"734,0,0"
,,
"734,0,0",,"734,0,0"
,,
"734,0,0",,"734,0,0"
,,
"734,0,0",,"734,0,0"
,,
"734,0,0",,"734,0,0"
,,
"735,0,0",,"735,0,0"
,,
"735,0,0",,"735,0,0"
,,
"735,0,0",,"735,0,0"
,,
"735,0,0",,"735,0,0"
,,
"735,0,0",,"735,0,0"
,,
"735,0,0",,"735,0,0"
,,
"735,0,0",,"735,0,0"
,,
"735,0,0",,"735,0,0"
,,
"735,0,0",,"735,0,0"
,,
"736,0,0",,"736,0,0"
,,
"736,0,0",,"736,0,0"
,,
"736,0,0",,"736,0,0"
,,
"736,0,0",,"736,0,0"
,,
"736,0,0",,"736,0,0"
,,
"736,0,0",,"736,0,0"
,,
"736,0,0",,"736,0,0"
,,
"736,0,0",,"736,0,0"
,,
"736,0,0",,"736,0,0"
,,
"737,0,0",,"737,0,0"
,,
"737,0,0",,"737,0,0"
,,
"737,0,0",,"737,0,0"
,,
"737,0,0",,"737,0,0"
,,
"737,0,0",,"737,0,0"
,,
"737,0,0",,"737,0,0"
,,
"737,0,0",,"737,0,0"
,,
"737,0,0",,"737,0,0"
,,
"737,0,0",,"737,0,0"
,,
"738,2,5",,"738,-2,0"
,,
"738,0,0",,"738,0,0"
,,
"738,0,0",,"738,0,0"
,,
"738,0,0",,"738,0,0"
,,
"738,0,0",,"738,0,0"
,,
"738,0,0",,"738,0,0"
,,
"738,0,0",,"738,0,0"
,,
"738,0,0",,"738,0,0"
,,
"738,0,0",,"738,0,0"
,,
"739,1,6",,"739,-1,0"
,,
"739,0,0",,"739,0,0"
,,
"739,0,0",,"739,0,0"
,,
"739,0,0",,"739,0,0"
,,
"739,0,0",,"739,0,0"
,,
"739,0,0",,"739,0,0"
,,
"739,0,0",,"739,0,0"
,,
"739,0,0",,"739,0,0"
,,
"739,0,0",,"739,0,0"
,,
"740,0,0",,"740,0,0"
,,
"740,0,0",,"740,0,0"
,,
"740,0,0",,"740,0,0"
,,
"740,0,0",,"740,0,0"
,,
"740,0,0",,"740,0,0"
,,
"740,0,0",,"740,0,0"
,,
"740,0,0",,"740,0,0"
,,
"740,0,0",,"740,0,0"
,,
"740,0,0",,"740,0,0"
,,
"741,1,6",,"741,-1,0"
,,
"741,0,0",,"741,0,0"
,,
"741,0,0",,"741,0,0"
,,
"741,0,0",,"741,0,0"
,,
"741,0,0",,"741,0,0"
,,
"741,0,0",,"741,0,0"
,,
"741,0,0",,"741,0,0"
,,
"741,0,0",,"741,0,0"
,,
"741,0,0",,"741,0,0"
,,
"742,-2,0",,"742,2,5"
,,
"742,0,0",,"742,0,0"
,,
"742,1,6",,"742,-1,0"
,,
"742,0,0",,"742,0,0"
,,
"742,0,0",,"742,0,0"
,,
"742,0,0",,"742,0,0"
,,
"742,0,0",,"742,0,0"
,,
"742,0,0",,"742,0,0"
,,
"742,0,0",,"742,0,0"
,,
"743,2,5",,"743,-2,0"
,,
"743,0,0",,"743,0,0"
,,
"743,0,0",,"743,0,0"
,,
"743,0,0",,"743,0,0"
,,
"743,0,0",,"743,0,0"
,,
"743,0,0",,"743,0,0"
,,
"743,0,0",,"743,0,0"
,,
"743,0,0",,"743,0,0"
,,
"743,0,0",,"743,0,0"
,,
"744,0,0",,"744,0,0"
,,
"744,0,0",,"744,0,0"
,,
"744,0,0",,"744,0,0"
,,
"744,0,0",,"744,0,0"
,,
"744,0,0",,"744,0,0"
,,
"744,0,0",,"744,0,0"
,,
"744,0,0",,"744,0,0"
,,
"744,0,0",,"744,0,0"
,,
"744,0,0",,"744,0,0"
,,
"745,-1,0",,"745,1,6"
,,
"745,2,5",,"745,-2,0"
,,
"745,0,0",,"745,0,0"
,,
"745,0,0",,"745,0,0"
,,
"745,0,0",,"745,0,0"
,,
"745,0,0",,"745,0,0"
,,
"745,0,0",,"745,0,0"
,,
"745,0,0",,"745,0,0"
,,
"745,0,0",,"745,0,0"
,,
"746,-1,0",,"746,1,6"
,,
"746,2,5",,"746,-2,0"
,,
"746,0,0",,"746,0,0"
,,
"746,0,0",,"746,0,0"
,,
"746,0,0",,"746,0,0"
,,
"746,0,0",,"746,0,0"
,,
"746,0,0",,"746,0,0"
,,
"746,0,0",,"746,0,0"
,,
"746,0,0",,"746,0,0"
,,
"747,2,5",,"747,-2,0"
,,
"747,0,0",,"747,0,0"
,,
"747,0,0",,"747,0,0"
,,
"747,0,0",,"747,0,0"
,,
"747,0,0",,"747,0,0"
,,
"747,0,0",,"747,0,0"
,,
"747,0,0",,"747,0,0"
,,
"747,0,0",,"747,0,0"
,,
"747,0,0",,"747,0,0"
,,
"748,0,0",,"748,0,0"
,,
"748,0,0",,"748,0,0"
,,
"748,0,0",,"748,0,0"
,,
"748,0,0",,"748,0,0"
,,
"748,0,0",,"748,0,0"
,,
"748,0,0",,"748,0,0"
,,
"748,0,0",,"748,0,0"
,,
"748,0,0",,"748,0,0"
,,
"748,0,0",,"748,0,0"
,,
"749,0,0",,"749,0,0"
,,
"749,0,0",,"749,0,0"
,,
"749,0,0",,"749,0,0"
,,
"749,0,0",,"749,0,0"
,,
"749,0,0",,"749,0,0"
,,
"749,0,0",,"749,0,0"
,,
"749,0,0",,"749,0,0"
,,
"749,0,0",,"749,0,0"
,,
"749,0,0",,"749,0,0"
,,
"750,-2,0",,"750,2,5"
,,
"750,2,5",,"750,-2,0"
,,
"750,0,0",,"750,0,0"
,,
"750,0,0",,"750,0,0"
,,
"750,0,0",,"750,0,0"
,,
"750,0,0",,"750,0,0"
,,
"750,0,0",,"750,0,0"
,,
"750,0,0",,"750,0,0"
,,
"750,0,0",,"750,0,0"
,,
"751,0,0",,"751,0,0"
,,
"751,0,0",,"751,0,0"
,,
"751,0,0",,"751,0,0"
,,
"751,0,0",,"751,0,0"
,,
"751,0,0",,"751,0,0"
,,
"751,0,0",,"751,0,0"
,,
"751,0,0",,"751,0,0"
,,
"751,0,0",,"751,0,0"
,,
"751,0,0",,"751,0,0"
,,
"752,1,6",,"752,-1,0"
,,
"752,0,0",,"752,0,0"
,,
"752,0,0",,"752,0,0"
,,
"752,0,0",,"752,0,0"
,,
"752,0,0",,"752,0,0"
,,
"752,0,0",,"752,0,0"
,,
"752,0,0",,"752,0,0"
,,
"752,0,0",,"752,0,0"
